target_card,gh1_source_card,mae
gh_am_mindthief_01.png,136310_attack_modifier_2.png,0.0773786
gh_am_mindthief_02.png,136310_attack_modifier_2.png,0.077375
gh_am_mindthief_03.png,136302_attack_modifier_0.png,0.0836877
gh_am_mindthief_04.png,136313_attack_modifier_2_infuse_ice.png,0.163025
gh_am_mindthief_05.png,136313_attack_modifier_2_infuse_ice.png,0.163027
gh_am_mindthief_06.png,136317_attack_modifier_1_rolling.png,0.0786968
gh_am_mindthief_07.png,136317_attack_modifier_1_rolling.png,0.0787516
gh_am_mindthief_08.png,136317_attack_modifier_1_rolling.png,0.0787742
gh_am_mindthief_09.png,136317_attack_modifier_1_rolling.png,0.0787192
gh_am_mindthief_10.png,136304_attack_modifier_0_push_1_rolling.png,0.126752
gh_am_mindthief_11.png,136304_attack_modifier_0_push_1_rolling.png,0.12679
gh_am_mindthief_12.png,136304_attack_modifier_0_push_1_rolling.png,0.126769
gh_am_mindthief_13.png,136306_attack_modifier_0_muddle_rolling.png,0.0938094
gh_am_mindthief_14.png,136306_attack_modifier_0_muddle_rolling.png,0.0938119
gh_am_mindthief_15.png,136306_attack_modifier_0_muddle_rolling.png,0.0938444
gh_am_mindthief_16.png,136306_attack_modifier_0_muddle_rolling.png,0.093788
gh_am_mindthief_17.png,136300_attack_modifier_0_immobilize_rolling.png,0.0895198
gh_am_mindthief_18.png,136300_attack_modifier_0_immobilize_rolling.png,0.089514
gh_am_mindthief_19.png,136318_attack_modifier_0_stun_rolling.png,0.120711
gh_am_mindthief_20.png,136319_attack_modifier_0_disarm_rolling.png,0.108845
